filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
272.txt,0.18843683083511775,0.07866687877823149,0.07768595041322314,0.12947658402203857,0.12096774193548387,0.07777777777777778,0.06521739130434782,0.39999999999976005,0.03571428571428571,0.16666666666666666,0.4,0.09999999999999999,0.4,0.07916666666666666,0.56486486486742
273.txt,0.37044967880085655,0.07017862824412391,0.1778827233371901,0.11972875609242423,0.11981566820290322,0.19576719576703702,0.16149068323,0.9230769230775692,0.20408163265285711,0.06666666666666667,0.714285714286,0.14285714285716666,0.230769230769,0.18452380952374997,0.5317047817068168
274.txt,0.4068522483940043,0.03571428571427958,0.09563164108595042,0.12873490146212122,0.06989247311838709,0.09523809523814813,0.0807453416147826,0.5076923076926031,0.05612244897957143,0.077777777778,0.5,0.10714285714283334,0.346153846154,0.0684523809525,0.39449064449121934
275.txt,0.139186295503212,0.3156220171810329,0.21671258034876031,0.09029690847878788,0.5806451612903225,0.27160493827148147,0.2608695652173913,0.7333333333334934,0.26190476190499995,0.2,1.0,0.16666666666666666,0.166666666667,0.29166666666666663,0.5202702702727411
276.txt,0.32762312633832974,0.023103844930251496,0.08107044470688705,0.14187327823691462,0.049627791563225804,0.07671957671962962,0.06211180124217391,0.42000000000016796,0.03571428571428571,0.07179487179466666,0.285714285714,0.047619047618999995,0.2,0.09821428571416665,0.7358108108122029
277.txt,0.8972162740899359,0.03404390709522134,0.09631670237741048,0.1477585775110193,0.05913978494612903,0.08641975308629629,0.07085346215782608,0.4090909090909637,0.039682539682571426,0.075,0.444444444444,0.07407407407399999,0.272727272727,0.08179012345666667,0.5371621621652055
278.txt,0.4025695931477516,0.02702149902280641,0.08852157943085401,0.11855568673746555,0.06451612903225806,0.09876543209888888,0.08115942028999999,0.4714285714285886,0.05238095238092857,0.07142857142866667,0.6,0.07777777777783333,0.25,0.06388888888875,0.3663127413136255
279.txt,0.835117773019272,0.03538888728208103,0.10612049347217631,0.12982826329049588,0.0689149560116129,0.11755233494370369,0.0888468809073913,0.5617021276598246,0.06832298136642857,0.06969696969666667,0.521739130435,0.0797101449275,0.234042553191,0.06884057970999999,0.3605520414038443
28.txt,0.2312633832976445,0.01614699331857471,0.08064112196363638,0.14784205693250688,0.04032258064516129,0.07070707070703702,0.059288537549565215,0.080000000000072,0.006493506493507143,0.061111111111133334,0.0909090909091,0.0757575757575,0.333333333333,0.045454545454583335,0.35675675675743174
280.txt,0.2698072805139186,0.14858415526575977,0.06574839302093664,0.09131721252933885,0.29032258064516125,0.07160493827148148,0.0782608695652174,0.17777777777767112,0.019047619047642857,0.3333333333333333,0.333333333333,0.03333333333333333,0.111111111111,0.049999999999999996,0.2972972972980084
281.txt,0.0449678800856531,0.007999636380076412,0.04530149984694214,0.11325374961735536,0.041474654377741935,0.053497942386666664,0.043478260869565216,0.13333333333325334,0.0079365079365,0.085714285714,0.111111111111,0.018518518518499998,0.111111111111,0.03240740740741666,0.34684684684760214
282.txt,0.29336188436830835,0.1137448297804589,0.1046831955922865,0.1046831955922865,0.20161290322580644,0.1111111111111111,0.10869565217391304,0.5760000000002304,0.0857142857142857,0.16666666666666666,0.7,0.049999999999999996,0.12,0.08333333333333333,0.35675675675743174
283.txt,0.04282655246252677,0.029987273305752658,0.08044077134986226,0.10055096418732783,0.08064516129032258,0.10370370370370369,0.08695652173913043,0.24000000000009603,0.02857142857142857,0.08333333333333333,0.6,0.0,0.0,0.049999999999999996,0.26756756756807376
284.txt,0.40042826552462524,0.04020478408010843,0.11019283746556474,0.13774104683195593,0.0703812316716129,0.10802469135814814,0.08695652173913043,0.5000000000006,0.059523809523785706,0.07272727272733334,0.5,0.06944444444449999,0.208333333333,0.09722222222208333,0.5202702702727411
